ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,ACS Industry yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2022,"2022","04000US19","Iowa",506,208.06008747474849,1.1570138649980612,"Ames, IA","16000US1901855","ames-ia",39857,67111,664,-23.795180722891565,39070,2.014333248016381,1.3876700307152259
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2022,"2022","04000US19","Iowa",56,73.99999999999999,0.3488057394354512,"Ames, IA","16000US1901855","ames-ia",,,69,-18.84057971014493,155665,NaN,0.153576129881527
1,"Construction (Group)",2,"Construction",2022,"2022","04000US19","Iowa",1332,350.4083332342426,0.5312217239113745,"Ames, IA","16000US1901855","ames-ia",112880,57468,1071,24.369747899159663,116161,-2.824528025757354,3.6529179464677495
2,"Manufacturing (Group)",3,"Manufacturing",2022,"2022","04000US19","Iowa",3007,427.8983524156175,0.8253971871400185,"Ames, IA","16000US1901855","ames-ia",79692,31752,2662,12.960180315552217,73658,8.191913980830325,8.24648968845985
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2022,"2022","04000US19","Iowa",626,333.097583299549,0.7148900023434134,"Ames, IA","16000US1901855","ames-ia",56238,85487,660,-5.151515151515151,73676,-23.66849448938596,1.7167617376042124
4,"Retail Trade (Group)",5,"Retail Trade",2022,"2022","04000US19","Iowa",3950,522.6892001945324,0.9857448509706662,"Ames, IA","16000US1901855","ames-ia",32135,7563,3256,21.314496314496314,36817,-12.71695140831681,10.832602018429135
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2022,"2022","04000US19","Iowa",823,223.32935319836483,0.456305466089921,"Ames, IA","16000US1901855","ames-ia",50705,15832,853,-3.5169988276670576,49849,1.7171859014222954,2.2570206230802983
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2022,"2022","04000US19","Iowa",151,79.51100552753688,0.4947026684686799,"Ames, IA","16000US1901855","ames-ia",101419,34684,132,14.393939393939394,100209,1.207476374377551,0.41410706450197454
6,"Information (Group)",8,"Information",2022,"2022","04000US19","Iowa",524,209.57099035887578,0.756968076678319,"Ames, IA","16000US1901855","ames-ia",35130,24507,655,-20,30150,16.517412935323385,1.437033786748574
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2022,"2022","04000US19","Iowa",864,257.7382393049196,0.4970121293810178,"Ames, IA","16000US1901855","ames-ia",102361,34307,1030,-16.116504854368934,130206,-21.3853432253506,2.369460289600702
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2022,"2022","04000US19","Iowa",632,231.35254483147574,0.9162145733756503,"Ames, IA","16000US1901855","ames-ia",60277,35478,606,4.29042904290429,37219,61.95222870039496,1.733216322948662
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2022,"2022","04000US19","Iowa",2267,328.4585209733491,0.7922346934454773,"Ames, IA","16000US1901855","ames-ia",99325,23173,2054,10.370009737098345,95900,3.571428571428571,6.217090829311101
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2022,"2022","04000US19","Iowa",39,50.11985634456667,0.7716120770251577,"Ames, IA","16000US1901855","ames-ia",,,52,-25,,NaN,0.10695480473892059
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2022,"2022","04000US19","Iowa",713,227.70595073471398,0.4711902406802589,"Ames, IA","16000US1901855","ames-ia",39611,51198,695,2.5899280575539567,36719,7.876031482338844,1.9553532250987276
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2022,"2022","04000US19","Iowa",10680,640.5255654538701,3.144175254644038,"Ames, IA","16000US1901855","ames-ia",58368,5671,10200,4.705882352941177,53114,9.891930564446286,29.289161913119788
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2022,"2022","04000US19","Iowa",3668,455.1087782058263,0.7218343612994367,"Ames, IA","16000US1901855","ames-ia",81929,15368,3866,-5.12157268494568,72337,13.260157319214233,10.059236507240017
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2022,"2022","04000US19","Iowa",874,275.40878707840824,1.1509394219965807,"Ames, IA","16000US1901855","ames-ia",19713,10833,788,10.913705583756345,30006,-34.30313937212557,2.3968845985081177
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2022,"2022","04000US19","Iowa",3575,463.2072970064267,1.4248275633171628,"Ames, IA","16000US1901855","ames-ia",21421,6244,3332,7.292917166866747,23436,-8.597883597883598,9.804190434401052
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2022,"2022","04000US19","Iowa",881,197.60819821049935,0.5112662749141418,"Ames, IA","16000US1901855","ames-ia",,,699,26.03719599427754,,NaN,2.4160816147433084
12,"Public Administration (Group)",19,"Public Administration",2022,"2022","04000US19","Iowa",1296,338.864279616486,0.7586018998052525,"Ames, IA","16000US1901855","ames-ia",139225,55922,1182,9.644670050761421,120605,15.438829235935492,3.5541904344010526
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2021,"2021","04000US19","Iowa",664,217.72000367444423,1.6004239352221248,"Ames, IA","16000US1901855","ames-ia",39070,73261,820,-19.024390243902438,38212,2.245367947241704,1.923188321844407
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2021,"2021","04000US19","Iowa",69,81.60882305241266,0.4363888525860271,"Ames, IA","16000US1901855","ames-ia",155665,109048,65,6.153846153846154,150694,3.298737839595472,0.19984938886636158
1,"Construction (Group)",2,"Construction",2021,"2021","04000US19","Iowa",1071,285.41198292993937,0.4559038667183414,"Ames, IA","16000US1901855","ames-ia",116161,52984,1048,2.1946564885496183,115174,0.8569642454026083,3.102010079360482
2,"Manufacturing (Group)",3,"Manufacturing",2021,"2021","04000US19","Iowa",2662,413.3920657196991,0.7693081006566945,"Ames, IA","16000US1901855","ames-ia",73658,18690,2743,-2.952971199416697,72791,1.1910813149977333,7.710131495105138
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2021,"2021","04000US19","Iowa",660,255.8612905462645,0.7687324735917062,"Ames, IA","16000US1901855","ames-ia",73676,77309,670,-1.4925373134328357,72167,2.0909834134715313,1.9116028500260673
4,"Retail Trade (Group)",5,"Retail Trade",2021,"2021","04000US19","Iowa",3256,499.2163859490191,0.8609497956499595,"Ames, IA","16000US1901855","ames-ia",36817,11137,3060,6.405228758169934,34934,5.390164309841415,9.430574060128599
