Sale_Price,Longitude,Latitude,Lot_Area,Bldg_Type,Overall_Cond,TotRms_AbvGrd,Gr_Liv_Area,Second_Flr_SF,Garage_Type,Sale_Condition,Year_Built,Year_Remod_Add,Distance_m,Neighborhood
215000,-93.619754,42.054035,31770,OneFam,Average,7,1656,FALSE,TRUE,Normal,1960,1960,3934.612574,North_Ames
105000,-93.619756,42.053014,11622,OneFam,Above_Average,5,896,FALSE,TRUE,Normal,1961,1961,3868.417315,North_Ames
172000,-93.6193873,42.052659,14267,OneFam,Above_Average,6,1329,FALSE,TRUE,Normal,1958,1958,3820.796917,North_Ames
244000,-93.61732,42.051245,11160,OneFam,Average,8,2110,FALSE,TRUE,Normal,1968,1968,3590.712263,North_Ames
189900,-93.638933,42.060899,13830,OneFam,Average,6,1629,TRUE,TRUE,Normal,1997,1998,5674.131891,Gilbert
195500,-93.638925,42.060779,9978,OneFam,Above_Average,7,1604,TRUE,TRUE,Normal,1998,1998,5666.305107,Gilbert
213500,-93.633792,42.062978,4920,TwnhsE,Average,6,1338,FALSE,TRUE,Normal,2001,2001,5460.553878,Stone_Brook
191500,-93.633826,42.060728,5005,TwnhsE,Average,5,1280,FALSE,TRUE,Normal,1992,1992,5314.070208,Stone_Brook
236500,-93.632852,42.06112,5389,TwnhsE,Average,5,1616,FALSE,TRUE,Normal,1995,1996,5274.277549,Stone_Brook
189000,-93.639068,42.059193,7500,OneFam,Average,7,1804,TRUE,TRUE,Normal,1999,1999,5582.392028,Gilbert
175900,-93.636947,42.05848,10000,OneFam,Average,7,1655,TRUE,TRUE,Normal,1993,1994,5391.341354,Gilbert
185000,-93.635951,42.057419,7980,OneFam,Good,6,1187,FALSE,TRUE,Normal,1992,2007,5259.595982,Gilbert
180400,-93.638647,42.058151,8402,OneFam,Average,7,1465,TRUE,TRUE,Normal,1998,1998,5492.900279,Gilbert
171500,-93.634626,42.057268,10176,OneFam,Average,5,1341,FALSE,TRUE,Normal,1990,1990,5157.163565,Gilbert
