,Sale_Price,Longitude,Latitude,Neighborhood,Lot_Area,Bldg_Type,Overall_Cond,TotRms_AbvGrd,Gr_Liv_Area,Second_Flr_SF,Garage_Type,Sale_Condition,Year_Built,Year_Remod_Add,Bedroom_AbvGr,Bath_AbvGr,Branch_Number,Distance_m
0,215000,-93.619754,42.054035,North_Ames,31770,OneFam,Average,7,1656,FALSE,TRUE,Normal,1960,1960,3,1,Branch_2,3934.612574
1,105000,-93.619756,42.053014,North_Ames,11622,OneFam,Above_Average,5,896,FALSE,TRUE,Normal,1961,1961,2,1,Branch_2,3868.417315
2,172000,-93.6193873,42.052659,North_Ames,14267,OneFam,Above_Average,6,1329,FALSE,TRUE,Normal,1958,1958,3,2,Branch_2,3820.796917
3,244000,-93.61732,42.051245,North_Ames,11160,OneFam,Average,8,2110,FALSE,TRUE,Normal,1968,1968,3,3,Branch_2,3590.712263
4,189900,-93.638933,42.060899,Gilbert,13830,OneFam,Average,6,1629,TRUE,TRUE,Normal,1997,1998,3,3,Branch_1,5674.131891
5,195500,-93.638925,42.060779,Gilbert,9978,OneFam,Above_Average,7,1604,TRUE,TRUE,Normal,1998,1998,3,3,Branch_1,5666.305107
6,213500,-93.633792,42.062978,Stone_Brook,4920,TwnhsE,Average,6,1338,FALSE,TRUE,Normal,2001,2001,2,2,Branch_1,5460.553878
7,191500,-93.633826,42.060728,Stone_Brook,5005,TwnhsE,Average,5,1280,FALSE,TRUE,Normal,1992,1992,2,2,Branch_1,5314.070208
8,236500,-93.632852,42.06112,Stone_Brook,5389,TwnhsE,Average,5,1616,FALSE,TRUE,Normal,1995,1996,2,2,Branch_1,5274.277549
9,189000,-93.639068,42.059193,Gilbert,7500,OneFam,Average,7,1804,TRUE,TRUE,Normal,1999,1999,3,3,Branch_1,5582.392028
10,175900,-93.636947,42.05848,Gilbert,10000,OneFam,Average,7,1655,TRUE,TRUE,Normal,1993,1994,3,3,Branch_1,5391.341354
11,185000,-93.635951,42.057419,Gilbert,7980,OneFam,Good,6,1187,FALSE,TRUE,Normal,1992,2007,3,2,Branch_1,5259.595982
12,180400,-93.638647,42.058151,Gilbert,8402,OneFam,Average,7,1465,TRUE,TRUE,Normal,1998,1998,3,3,Branch_1,5492.900279
13,171500,-93.634626,42.057268,Gilbert,10176,OneFam,Average,5,1341,FALSE,TRUE,Normal,1990,1990,2,2,Branch_1,5157.163565
14,212000,-93.632913,42.059169,Stone_Brook,6820,TwnhsE,Average,4,1502,FALSE,TRUE,Normal,1985,1985,1,2,Branch_1,5153.006314
15,538000,-93.62655,42.061239,Stone_Brook,53504,OneFam,Average,12,3279,TRUE,TRUE,Normal,2003,2003,4,4,Branch_1,4872.417494
16,164000,-93.6235954,42.0603514,Gilbert,12134,OneFam,Good,8,1752,TRUE,TRUE,Normal,1988,2005,4,2,Branch_1,4622.579101
17,394432,-93.628804,42.05885,Stone_Brook,11394,OneFam,Poor,8,1856,FALSE,TRUE,Partial,2010,2010,1,2,Branch_1,4854.968995
18,141000,-93.622971,42.056673,Gilbert,19138,OneFam,Average,4,864,FALSE,TRUE,Normal,1951,1951,2,1,Branch_1,4323.618487
19,210000,-93.636655,42.054453,Northwest_Ames,13175,OneFam,Above_Average,7,2073,FALSE,TRUE,Normal,1978,1988,3,2,Branch_2,5149.011588
20,190000,-93.633962,42.050346,Northwest_Ames,11751,OneFam,Above_Average,7,1844,FALSE,TRUE,Normal,1977,1977,3,2,Branch_2,4749.728178
22,216000,-93.639366,42.049297,Somerset,7500,OneFam,Average,7,1674,TRUE,TRUE,Normal,2000,2000,3,3,Branch_1,5119.398331
23,149000,-93.626231,42.055147,North_Ames,11241,OneFam,Good,5,1004,FALSE,TRUE,Normal,1970,1970,2,1,Branch_2,4444.628577
24,149900,-93.626537,42.054592,North_Ames,12537,OneFam,Above_Average,6,1078,FALSE,TRUE,Normal,1971,2008,3,2,Branch_2,4432.054508
25,142000,-93.628806,42.055227,North_Ames,8450,OneFam,Above_Average,6,1056,FALSE,TRUE,Normal,1968,1968,3,1,Branch_2,4628.34572
26,126000,-93.627112,42.053395,North_Ames,8400,OneFam,Average,4,882,FALSE,TRUE,Normal,1970,1970,2,1,Branch_2,4402.215422
27,115000,-93.622769,42.056375,North_Ames,10500,OneFam,Average,5,864,FALSE,FALSE,Normal,1971,1971,3,1,Branch_2,4290.235348
28,184000,-93.624373,42.055318,North_Ames,5858,TwnhsE,Average,5,1337,FALSE,TRUE,Normal,1999,1999,2,2,Branch_2,4328.274814
29,96000,-93.627271,42.051835,Briardale,1680,Twnhs,Average,5,987,TRUE,TRUE,Normal,1971,1971,2,2,Branch_2,4327.045151
30,105500,-93.627536,42.051684,Briardale,1680,Twnhs,Average,6,1092,TRUE,TRUE,Normal,1971,1971,3,2,Branch_2,4338.200335
32,127500,-93.627232,42.049672,Northpark_Villa,4043,TwnhsE,Average,4,1069,FALSE,TRUE,Normal,1977,1977,2,2,Branch_2,4213.126972
33,149900,-93.625924,42.050683,Northpark_Villa,2280,Twnhs,Above_Average,6,1456,TRUE,TRUE,Normal,1975,1975,3,3,Branch_2,4167.942942
34,120000,-93.625966,42.050681,Northpark_Villa,2280,Twnhs,Above_Average,4,836,FALSE,TRUE,Normal,1975,1975,2,1,Branch_2,4170.904388
35,146000,-93.625848,42.049811,Northpark_Villa,2280,Twnhs,Average,7,1456,TRUE,TRUE,Normal,1978,1978,3,3,Branch_2,4117.532225
36,376162,-93.653201,42.062352,Northridge_Heights,12858,OneFam,Average,10,2334,TRUE,TRUE,Partial,2009,2010,3,3,Branch_1,6770.706935
37,306000,-93.654645,42.062109,Northridge_Heights,11478,OneFam,Average,7,1704,FALSE,TRUE,Normal,2007,2008,3,2,Branch_1,6862.937031
38,395192,-93.6537329,42.0611331,Northridge_Heights,10159,OneFam,Average,8,1940,FALSE,TRUE,Partial,2009,2010,3,3,Branch_1,6745.540727
39,290941,-93.6528306,42.0612885,Northridge_Heights,12883,OneFam,Average,7,1544,FALSE,TRUE,Partial,2009,2010,3,2,Branch_1,6687.538743
40,220000,-93.652713,42.060872,Northridge_Heights,12182,OneFam,Average,7,1541,FALSE,TRUE,Partial,2005,2005,3,2,Branch_1,6657.305927
41,275000,-93.65332,42.0608079,Northridge_Heights,11520,OneFam,Average,7,1698,FALSE,TRUE,Normal,2005,2005,3,2,Branch_1,6698.537939
42,259000,-93.652336,42.060879,Northridge_Heights,14122,OneFam,Average,8,1822,FALSE,TRUE,Normal,2005,2006,3,2,Branch_1,6630.060535
43,214000,-93.652307,42.060298,Northridge_Heights,10171,OneFam,Average,7,1535,FALSE,TRUE,Normal,2004,2004,3,2,Branch_1,6598.029376
44,611657,-93.655051,42.059617,Northridge_Heights,12919,OneFam,Average,11,2364,FALSE,TRUE,Partial,2009,2010,2,3,Branch_1,6767.158267
45,224000,-93.650436,42.058388,Northridge_Heights,6371,TwnhsE,Average,6,1358,FALSE,TRUE,Partial,2009,2010,2,2,Branch_1,6364.056778
46,500000,-93.656067,42.058599,Northridge_Heights,14300,OneFam,Average,10,2696,FALSE,TRUE,Normal,2003,2004,3,3,Branch_1,6794.811591
47,320000,-93.654853,42.057102,Northridge_Heights,13650,OneFam,Average,7,2250,TRUE,TRUE,Normal,2002,2002,3,3,Branch_1,6634.85241
48,319900,-93.654121,42.057164,Northridge_Heights,7658,TwnhsE,Average,6,1752,FALSE,TRUE,Normal,2005,2005,2,2,Branch_1,6582.263426
49,205000,-93.649447,42.058252,Northridge_Heights,7132,TwnhsE,Average,6,1370,FALSE,TRUE,Normal,2006,2006,2,2,Branch_1,6284.017755
50,175500,-93.651013,42.057181,Northridge_Heights,2628,Twnhs,Average,6,1626,TRUE,TRUE,Normal,2003,2003,2,3,Branch_1,6349.027265
51,199500,-93.644356,42.061928,Gilbert,18494,OneFam,Average,6,1324,FALSE,TRUE,Normal,2005,2005,3,2,Branch_1,6114.359276
52,160000,-93.641635,42.06257,Bloomington_Heights,3203,TwnhsE,Average,6,1145,FALSE,TRUE,Normal,2006,2006,2,2,Branch_1,5962.946807
53,192000,-93.642252,42.062303,Bloomington_Heights,3182,TwnhsE,Average,6,1269,FALSE,TRUE,Normal,2004,2005,2,2,Branch_1,5989.456618
54,184500,-93.644076,42.061443,Gilbert,13300,OneFam,Average,7,1374,TRUE,TRUE,Normal,2004,2004,3,3,Branch_1,6066.418717
