Id,SalePrice
1461,204000
1462,204000
1463,204000
1464,204000
1465,257000
1466,98000
1467,204000
1468,204000
1469,151000
1470,151000
1471,204000
1472,257000
1473,151000
1474,204000
1475,151000
1476,151000
1477,151000
1478,151000
1479,204000
1480,204000
1481,257000
1482,204000
1483,204000
1484,204000
1485,204000
1486,204000
1487,204000
1488,204000
1489,151000
1490,98000
1491,204000
1492,204000
1493,204000
1494,257000
1495,151000
1496,257000
1497,204000
1498,204000
1499,204000
1500,151000
1501,204000
1502,151000
1503,151000
1504,204000
1505,204000
1506,151000
1507,98000
1508,204000
1509,151000
1510,204000
1511,204000
1512,204000
1513,151000
1514,45000
1515,204000
1516,204000
1517,204000
1518,204000
1519,204000
1520,151000
1521,204000
1522,204000
1523,151000
1524,204000
1525,204000
1526,257000
1527,204000
1528,204000
1529,151000
1530,204000
1531,204000
1532,151000
1533,204000
1534,204000
1535,204000
1536,151000
1537,151000
1538,151000
1539,257000
1540,151000
1541,257000
1542,151000
1543,204000
1544,204000
1545,204000
1546,257000
1547,204000
1548,151000
1549,151000
1550,204000
1551,151000
1552,151000
1553,151000
1554,257000
1555,204000
1556,204000
1557,204000
1558,204000
1559,151000
1560,204000
1561,204000
1562,204000
1563,257000
1564,204000
1565,257000
1566,204000
1567,151000
1568,151000
1569,204000
1570,204000
1571,257000
1572,204000
1573,257000
1574,204000
1575,204000
1576,151000
1577,204000
1578,151000
1579,310000
1580,204000
1581,98000
1582,204000
1583,204000
1584,151000
1585,204000
1586,151000
1587,151000
1588,204000
1589,204000
1590,204000
1591,257000
1592,204000
1593,204000
1594,151000
1595,204000
1596,204000
1597,204000
1598,310000
1599,204000
1600,204000
1601,204000
1602,204000
1603,257000
1604,204000
1605,363000
1606,204000
1607,151000
1608,204000
1609,204000
1610,204000
1611,204000
1612,151000
1613,257000
1614,98000
1615,257000
1616,151000
1617,151000
1618,257000
1619,204000
1620,257000
1621,204000
1622,204000
1623,204000
1624,98000
1625,204000
1626,257000
1627,151000
1628,204000
1629,204000
1630,151000
1631,151000
1632,204000
1633,151000
1634,204000
1635,204000
1636,257000
1637,257000
1638,257000
1639,98000
1640,151000
1641,204000
1642,257000
1643,204000
1644,204000
1645,204000
1646,257000
1647,204000
1648,204000
1649,151000
1650,45000
1651,204000
1652,257000
1653,204000
1654,204000
1655,204000
1656,204000
1657,204000
1658,257000
1659,310000
1660,204000
1661,151000
1662,204000
1663,151000
1664,98000
1665,151000
1666,204000
1667,204000
1668,204000
1669,204000
1670,204000
1671,151000
1672,204000
1673,204000
1674,204000
1675,204000
1676,151000
1677,204000
1678,204000
1679,204000
1680,151000
1681,151000
1682,257000
1683,204000
1684,151000
1685,204000
1686,204000
1687,257000
1688,151000
1689,204000
1690,151000
1691,204000
1692,257000
1693,151000
1694,204000
1695,257000
1696,151000
1697,204000
1698,204000
1699,204000
1700,204000
1701,204000
1702,151000
1703,204000
1704,204000
1705,204000
1706,204000
1707,257000
1708,151000
1709,204000
1710,257000
1711,204000
1712,151000
1713,204000
1714,204000
1715,204000
1716,257000
1717,204000
1718,204000
1719,204000
1720,151000
1721,204000
1722,204000
1723,204000
1724,204000
1725,151000
1726,204000
1727,204000
1728,257000
1729,151000
1730,204000
1731,204000
1732,151000
1733,257000
1734,204000
1735,151000
1736,204000
1737,204000
1738,151000
1739,204000
1740,257000
1741,204000
1742,151000
1743,151000
1744,204000
1745,151000
1746,151000
1747,204000
1748,204000
1749,204000
1750,204000
1751,204000
1752,363000
1753,204000
1754,204000
1755,204000
1756,204000
1757,257000
1758,204000
1759,204000
1760,204000
1761,151000
1762,257000
1763,204000
1764,204000
1765,204000
1766,204000
1767,257000
1768,204000
1769,98000
1770,204000
1771,204000
1772,151000
1773,204000
